,c,h,l,o,s,t,v
0,27.195,27.25,27.1,27.14,ok,1577923200,298200
1,27.04,27.13,27.01,27.07,ok,1578009600,227400
2,26.912,27.0,26.912,26.95,ok,1578268800,44700
3,27.03,27.895,26.96,27.03,ok,1578355200,33200
4,27.04,27.12,26.98,27.0,ok,1578441600,20200
5,27.06,27.19,27.03,27.155,ok,1578528000,76500
6,27.161,27.25,27.1,27.195,ok,1578614400,12000
7,27.385,27.393,27.198,27.198,ok,1578873600,3700
8,27.271,27.35,27.207,27.35,ok,1578960000,34400
9,27.211,27.33,27.211,27.27,ok,1579046400,25100
10,27.31,27.37,27.21,27.37,ok,1579132800,21700
11,27.339,27.965,27.24,27.305,ok,1579219200,3500
12,27.09,27.25,27.01,27.25,ok,1579564800,36400
13,27.153,27.25,27.1,27.24,ok,1579651200,19900
14,27.042,27.052,26.949,27.02,ok,1579737600,17200
15,26.944,27.057,26.912,27.05,ok,1579824000,32900
16,26.521,26.66,26.435,26.66,ok,1580083200,33200
17,26.672,26.7,26.575,26.7,ok,1580169600,28400
18,26.652,26.72,26.56,26.648,ok,1580256000,17200
19,26.461,26.5,26.32,26.34,ok,1580342400,12400
20,26.176,27.065,26.06,26.33,ok,1580428800,118000
21,26.34,26.41,26.27,26.328,ok,1580688000,72200
22,26.705,26.73,26.666,26.706,ok,1580774400,3600
23,26.755,26.87,26.68,26.79,ok,1580860800,38300
24,26.69,27.02,26.69,27.02,ok,1580947200,11500
25,26.54,26.68,26.52,26.543,ok,1581033600,26900
26,26.6,26.76,26.58,26.76,ok,1581292800,41100
27,26.819,26.92,26.77,26.77,ok,1581379200,8600
28,27.028,27.06,26.929,26.967,ok,1581465600,71200
29,26.841,27.95,26.8,26.845,ok,1581552000,45300
30,26.835,27.37,26.82,26.9,ok,1581638400,28300
31,26.755,26.86,26.71,26.86,ok,1581984000,16200
32,26.845,26.93,26.845,26.9,ok,1582070400,18700
33,26.59,26.82,26.59,26.82,ok,1582156800,68500
34,26.53,26.603,26.465,26.603,ok,1582243200,4700
35,26.06,26.15,26.0,26.03,ok,1582502400,31500
36,25.99,26.17,25.891,26.15,ok,1582588800,6400
37,26.059,26.11,26.031,26.075,ok,1582675200,2300
38,25.76,26.03,25.74,25.75,ok,1582761600,205400
39,25.498,25.5,25.06,25.06,ok,1582848000,181400
40,25.846,25.846,25.175,25.78,ok,1583107200,12700
41,25.85,26.16,25.8,26.16,ok,1583193600,84200
42,26.2,26.2,25.94,25.955,ok,1583280000,11600
43,25.942,26.148,25.79,26.13,ok,1583366400,66600
44,25.571,25.99,25.4,25.63,ok,1583452800,10900
45,24.634,25.01,24.535,25.01,ok,1583712000,6600
46,25.157,25.157,24.79,25.048,ok,1583798400,7600
47,24.421,24.89,24.4,24.728,ok,1583884800,4700
48,22.941,23.71,22.53,23.71,ok,1583971200,3100
49,23.696,23.81,23.315,23.511,ok,1584057600,4100
50,21.907,23.62,21.907,23.62,ok,1584316800,2200
51,22.41,22.455,22.2,22.42,ok,1584403200,8500
52,21.296,21.81,20.99,21.81,ok,1584489600,48800
53,21.538,21.591,21.2,21.2,ok,1584576000,10100
54,21.778,22.23,21.7,22.23,ok,1584662400,13600
55,21.6,21.82,21.295,21.43,ok,1584921600,24000
56,22.71,22.793,21.892,22.701,ok,1585008000,3700
57,23.376,23.376,22.33,22.44,ok,1585094400,1400
58,24.011,24.011,23.455,23.455,ok,1585180800,3200
59,23.034,23.2,22.905,22.966,ok,1585267200,6800
60,23.225,23.38,23.01,23.01,ok,1585526400,20700
61,22.847,23.445,22.36,23.445,ok,1585612800,2000
62,22.603,22.94,22.4,22.87,ok,1585699200,195900
63,23.06,23.06,22.66,22.66,ok,1585785600,22900
64,23.866,24.104,23.866,24.104,ok,1586217600,2500
65,23.975,23.975,23.92,23.92,ok,1586304000,300
66,23.844,24.188,23.844,24.161,ok,1586390400,1100
67,24.023,24.023,23.867,23.867,ok,1586736000,9800
68,24.33,24.402,24.2,24.402,ok,1586822400,600
69,24.009,24.009,23.95,23.95,ok,1586995200,1100
70,24.263,24.35,24.16,24.35,ok,1587081600,19200
71,24.155,24.307,23.85,24.14,ok,1587340800,2100
72,23.76,23.82,23.62,23.82,ok,1587427200,5400
73,24.048,24.048,23.95,23.96,ok,1587513600,12700
74,24.0,24.04,23.92,24.04,ok,1587600000,4300
75,23.89,23.89,23.88,23.88,ok,1587686400,1000
76,24.29,24.29,24.2,24.2,ok,1587945600,3200
77,24.334,24.355,24.26,24.27,ok,1588032000,3200
78,24.8,24.8,24.73,24.73,ok,1588118400,300
79,24.259,24.292,24.259,24.265,ok,1588204800,1000
80,23.94,23.94,23.926,23.926,ok,1588291200,300
81,23.981,24.004,23.981,24.004,ok,1588550400,200
82,24.103,24.169,24.05,24.05,ok,1588723200,2900
83,24.18,24.244,24.18,24.244,ok,1588809600,1700
84,24.595,24.595,24.42,24.575,ok,1588896000,1800
85,24.62,24.62,24.57,24.57,ok,1589155200,300
86,24.63,24.753,24.6,24.753,ok,1589241600,1200
87,24.401,24.62,24.28,24.596,ok,1589328000,1400
88,24.42,24.42,24.42,24.42,ok,1589414400,100
89,24.26,24.26,24.197,24.197,ok,1589500800,1300
90,24.835,24.835,24.835,24.835,ok,1589760000,100
91,24.904,24.92,24.904,24.92,ok,1589846400,300
92,24.86,24.96,24.86,24.96,ok,1589932800,200
93,24.765,24.85,24.6,24.62,ok,1590019200,9300
94,24.508,24.508,24.508,24.508,ok,1590105600,300
95,24.765,24.911,24.765,24.911,ok,1590451200,600
96,24.83,24.84,24.83,24.84,ok,1590537600,200
97,24.758,24.89,24.758,24.77,ok,1590624000,12300
98,24.891,24.95,24.786,24.83,ok,1590710400,90800
